"ZipCode","Type","City","State","IsPrimaryCity"
"01084","Standard","WEST CHESTERFIELD","MA","1"
"01084","Standard","W CHESTERFLD","MA","0"
"01085","Standard","WESTFIELD","MA","1"
"01085","Standard","MONTGOMERY","MA","0"
"01086","POBox","WESTFIELD","MA","1"
"01088","Standard","WEST HATFIELD","MA","1"
"01088","Standard","W HATFIELD","MA","0"
"01089","Standard","WEST SPRINGFIELD","MA","1"
"01090","POBox","WEST SPRINGFIELD","MA","1"
"01090","POBox","W SPRINGFIELD","MA","0"
"01092","POBox","WEST WARREN","MA","1"
"01093","POBox","WHATELY","MA","1"
"01094","POBox","WHEELWRIGHT","MA","1"
"01095","Standard","WILBRAHAM","MA","1"
"01096","Standard","WILLIAMSBURG","MA","1"
"01097","POBox","WORONOCO","MA","1"
"01098","Standard","WORTHINGTON","MA","1"
"01101","POBox","SPRINGFIELD","MA","1"
"01102","POBox","SPRINGFIELD","MA","1"
"01103","Standard","SPRINGFIELD","MA","1"
"01104","Standard","SPRINGFIELD","MA","1"
"01105","Standard","SPRINGFIELD","MA","1"
"01106","Standard","LONGMEADOW","MA","1"
"01106","Standard","SPFLD","MA","0"
"01106","Standard","SPRINGFIELD","MA","0"
"01107","Standard","SPRINGFIELD","MA","1"
"01108","Standard","SPRINGFIELD","MA","1"
"01109","Standard","SPRINGFIELD","MA","1"
"01111","Unique","SPRINGFIELD","MA","1"
"01115","POBox","SPRINGFIELD","MA","1"
"01116","POBox","LONGMEADOW","MA","1"
"01116","POBox","E LONGMEADOW","MA","0"
"01116","POBox","EAST LONGMEADOW","MA","0"
"01118","Standard","SPRINGFIELD","MA","1"
"01119","Standard","SPRINGFIELD","MA","1"
"01128","Standard","SPRINGFIELD","MA","1"
"01129","Standard","SPRINGFIELD","MA","1"
"01138","POBox","SPRINGFIELD","MA","1"
"01139","POBox","SPRINGFIELD","MA","1"
"01144","Standard","SPRINGFIELD","MA","1"
"01151","Standard","INDIAN ORCHARD","MA","1"
"01152","Standard","SPRINGFIELD","MA","1"
"01199","Unique","SPRINGFIELD","MA","1"
"01201","Standard","PITTSFIELD","MA","1"
"01202","POBox","PITTSFIELD","MA","1"
"01203","POBox","PITTSFIELD","MA","1"
"01220","Standard","ADAMS","MA","1"
"01222","Standard","ASHLEY FALLS","MA","1"
"01223","Standard","BECKET","MA","1"
"01224","Standard","BERKSHIRE","MA","1"
"01224","Standard","LANESBORO","MA","0"
"01225","Standard","CHESHIRE","MA","1"
"01226","Standard","DALTON","MA","1"
"01227","POBox","DALTON","MA","1"
"01229","POBox","GLENDALE","MA","1"
"01230","Standard","GREAT BARRINGTON","MA","1"
"01235","Standard","HINSDALE","MA","1"
"01235","Standard","PERU","MA","0"
"01236","Standard","HOUSATONIC","MA","1"
"01237","Standard","LANESBORO","MA","1"
"01238","Standard","LEE","MA","1"
"01240","Standard","LENOX","MA","1"
"01242","POBox","LENOX DALE","MA","1"
"01243","POBox","MIDDLEFIELD","MA","1"
"01244","POBox","MILL RIVER","MA","1"
"01245","Standard","MONTEREY","MA","1"
"01245","Standard","WEST OTIS","MA","0"
"01247","Standard","NORTH ADAMS","MA","1"
"01252","POBox","NORTH EGREMONT","MA","1"
"01253","Standard","OTIS","MA","1"
"01254","Standard","RICHMOND","MA","1"
"01255","Standard","SANDISFIELD","MA","1"
"01256","Standard","SAVOY","MA","1"
"01257","Standard","SHEFFIELD","MA","1"
"01258","Standard","SOUTH EGREMONT","MA","1"
"01259","Standard","SOUTHFIELD","MA","1"
"01260","POBox","SOUTH LEE","MA","1"
"01262","POBox","STOCKBRIDGE","MA","1"
"01263","Unique","STOCKBRIDGE","MA","1"
"01264","POBox","TYRINGHAM","MA","1"
"01264","POBox","LEE","MA","0"
"01266","Standard","WEST STOCKBRIDGE","MA","1"
"01267","Standard","WILLIAMSTOWN","MA","1"
"01270","Standard","WINDSOR","MA","1"
"01301","Standard","GREENFIELD","MA","1"
