Lender,MonthApproved,AVG(JobsReported)
"BLACK HILLS COMMUNITY BANK, NATIONAL ASSOCIATION",APRIL,1.0
"CACHE VALLEY BANK",MAY,1.0
"CAPITAL ONE, NATIONAL ASSOCIATION",APRIL,1.0
"CAPITAL ONE, NATIONAL ASSOCIATION",MAY,1.0
"CASCADE COMMUNITY FCU",APRIL,1.0
"CDC SMALL BUSINESS FINANCE CORPORATION",JUNE,1.0
"CENTRAL BANK OF THE MIDWEST",MAY,1.0
"CENTRAL PACIFIC BANK",JULY,1.0
"CITIBANK, N.A.",MAY,1.0
"CITIZENS BANK, NATIONAL ASSOCIATION",APRIL,1.0
"CITIZENS BANK, NATIONAL ASSOCIATION",MAY,1.0
"COAST CENTRAL CU",MAY,1.0
"COASTAL COMMUNITY BANK",APRIL,1.0
"COASTHILLS CU",APRIL,1.0
"COLUMBIA STATE BANK",APRIL,1.0
"COMMUNITY COMMERCE BANK",JUNE,1.0
"CONTINENTAL BANK",MAY,1.0
"COTTONWOOD COMMUNITY FCU",JUNE,1.0
"CRF SMALL BUSINESS LOAN COMPANY, LLC",JUNE,1.0
"CU HAWAII FCU",APRIL,1.0
"CU HAWAII FCU",JUNE,1.0
"CU HAWAII FCU",MAY,1.0
"CUSTOMERS BANK",JULY,1.0
"CUSTOMERS BANK",MAY,1.0
"DUNDEE BANK",APRIL,1.0
"FARM BUREAU BANK, FSB",JUNE,1.0
"FARMERS & MERCHANTS BANK OF LONG BEACH",APRIL,1.0
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",AUGUST,1.0
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",JULY,1.0
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",MAY,1.0
"FINANCIAL PARTNERS CU",APRIL,1.0
"FIREFIGHTERS FIRST FCU",MAY,1.0
"FIRST CHOICE BANK",MAY,1.0
"FIRST CITIZENS BANK OF BUTTE",APRIL,1.0
"FIRST COMMONWEALTH BANK",APRIL,1.0
"FIRST FINANCIAL BANK",APRIL,1.0
"FIRST GENERAL BANK",APRIL,1.0
"FIRST GUARANTY BANK",JUNE,1.0
"FIRST INTERSTATE BANK",APRIL,1.0
"FIRST INTERSTATE BANK",MAY,1.0
"FIRST NATIONAL BANK",APRIL,1.0
"FIRST NATIONAL BANK ALASKA",JULY,1.0
"FIRST NATIONAL BANK ALASKA",JUNE,1.0
"FIRST NATIONAL BANK ALASKA",MAY,1.0
"FIRST NATIONAL BANK TEXAS",APRIL,1.0
