Lender,MonthApproved,AvgPerJobAmount
"NAVY FCU",JULY,10355.5555555556
"CELTIC BANK CORPORATION",JUNE,10342.5727587526
"NEWTEK SMALL BUSINESS FINANCE, INC.",MAY,10333.3333333333
"FIRST HAWAIIAN BANK",APRIL,10332.029659521
"BANK OF AMERICA, NATIONAL ASSOCIATION",MAY,10319.2380952381
"COMMUNITY FIRST NATIONAL BANK",AUGUST,10300.0
"U.S. BANK, NATIONAL ASSOCIATION",MAY,10299.8571428571
"FINANCIAL PARTNERS CU",APRIL,10282.5
"NANO BANC",APRIL,10249.0
"AMERICAN SAVINGS BANK, FSB",JUNE,10209.6666666667
"FIRST COMMAND BANK",APRIL,10171.3333333333
"FIRST HOME BANK",APRIL,10127.4
"SMALL BUSINESS BANK",APRIL,10023.3125
"FIRST BANK OF THE LAKE",APRIL,10015.75
"CACHE VALLEY BANK",JUNE,10008.7142857143
"CDC SMALL BUSINESS FINANCE CORPORATION",JULY,10000.0
"TRANSPORTATION ALLIANCE BANK, INC. D/B/A TAB BANK, INC.",MAY,10000.0
"NEWTEK SMALL BUSINESS FINANCE, INC.",JUNE,9983.33333333333
"KAUA'I GOVERNMENT EMPLOYEES' FCU",MAY,9950.12334782609
"GATHER FCU",APRIL,9917.89125091575
"BANK OF AMERICA, NATIONAL ASSOCIATION",JULY,9908.625
"CITIZENS BANK, NATIONAL ASSOCIATION",APRIL,9900.0
"TRUIST BANK D/B/A BRANCH BANKING & TRUST CO",JULY,9855.83
"SEACOAST COMMERCE BANK",APRIL,9794.0
"NCMIC FINANCE CORPORATION",JUNE,9790.0
"GLACIER BANK",JULY,9772.0
WEBBANK,MAY,9596.83620689655
"FIRST HAWAIIAN BANK",JUNE,9562.83783927057
"GREATER NEVADA CU",APRIL,9541.42105263158
WEBBANK,APRIL,9541.06756756757
"CACHE VALLEY BANK",JULY,9537.5
"GATHER FCU",MAY,9510.26875
"HAWAII NATIONAL BANK",APRIL,9498.34459356799
"FIRST INTERSTATE BANK",MAY,9450.0
"CROSS RIVER BANK",JUNE,9416.56567307692
"OHANA PACIFIC BANK",JUNE,9378.63333333333
"CUSTOMERS BANK",APRIL,9372.0
"FIRST FOUNDATION BANK",APRIL,9355.38461538462
