City,JobTitle,COUNT(LoanAmount)
KAHULUI,"LIMITED-SERVICE RESTAURANTS",11
KAILUA,"INSURANCE AGENCIES AND BROKERAGES",11
KAILUA,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",11
KAILUA,"OTHER ACTIVITIES RELATED TO REAL ESTATE",11
"KAILUA KONA","OTHER ACCOUNTING SERVICES",11
KIHEI,"ALL OTHER TRAVELER ACCOMMODATION",11
KIHEI,"BEAUTY SALONS",11
KIHEI,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",11
KIHEI,"RESIDENTIAL REMODELERS",11
LIHUE,"OFFICES OF LAWYERS",11
WAILEA,"ALL OTHER TRAVELER ACCOMMODATION",11
WAILEA,"BEAUTY SALONS",11
WAILEA,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",11
WAILEA,"RESIDENTIAL REMODELERS",11
WAILUKU,"GENERAL AUTOMOTIVE REPAIR",11
AIEA,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",10
AIEA,"OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS",10
HILO,"OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS",10
HONOLULU,"ALL OTHER HEALTH AND PERSONAL CARE STORES",10
HONOLULU,"ALL OTHER TELECOMMUNICATIONS",10
HONOLULU,"COSMETOLOGY AND BARBER SCHOOLS",10
HONOLULU,"DENTAL LABORATORIES",10
HONOLULU,"DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS",10
HONOLULU,"FISH AND SEAFOOD MERCHANT WHOLESALERS",10
HONOLULU,"FREIGHT TRANSPORTATION ARRANGEMENT",10
HONOLULU,"HOTELS (EXCEPT CASINO HOTELS) AND MOTELS",10
HONOLULU,"MISCELLANEOUS INTERMEDIATION",10
HONOLULU,"MOTOR VEHICLE TOWING",10
HONOLULU,"OTHER PERFORMING ARTS COMPANIES",10
HONOLULU,"SEWING, NEEDLEWORK, AND PIECE GOODS STORES",10
KAHULUI,"JANITORIAL SERVICES",10
KAILUA,,10
KAILUA,"OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS",10
KAILUA,"OFFICES OF LAWYERS",10
KANEOHE,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",10
KANEOHE,"RELIGIOUS ORGANIZATIONS",10
KAPAA,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",10
KAPAA,"RESIDENTIAL REMODELERS",10
KAPOLEI,"ALL OTHER PERSONAL SERVICES",10
LAHAINA,"JANITORIAL SERVICES",10
LAHAINA,"OTHER PERSONAL CARE SERVICES",10
LIHUE,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",10
MAKAWAO,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",10
MILILANI,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",10
"PEARL CITY","LIMITED-SERVICE RESTAURANTS",10
